1.0,0.95,0.01,0.99
2.0,1.06,0.02,1.98
3.0,1.15,0.03,2.97
4.0,1.22,0.05,3.95
5.0,1.27,0.06,4.94
6.0,1.38,0.08,5.92
7.0,1.51,0.11,6.89
8.0,1.58,0.13,7.87
9.0,1.7,0.15,8.85
10.0,1.82,0.18,9.82
11.0,1.94,0.21,10.79
12.0,2.1,0.25,11.75
13.0,2.3,0.3,12.7
14.0,2.43,0.34,13.66
15.0,2.63,0.39,14.61
16.0,2.78,0.44,15.56
17.0,3.04,0.52,16.48
18.0,3.24,0.58,17.42
19.0,3.46,0.66,18.34
20.0,3.8,0.76,19.24
21.0,4.04,0.85,20.15
22.0,4.42,0.97,21.03
23.0,4.77,1.1,21.9
24.0,5.18,1.24,22.76
25.0,5.61,1.4,23.6
26.0,6.15,1.6,24.4
27.0,6.64,1.79,25.21
28.0,7.24,2.03,25.97
29.0,7.78,2.26,26.74
30.0,8.55,2.57,27.43
31.0,9.39,2.91,28.09
32.0,10.2,3.26,28.74
33.0,11.12,3.67,29.33
34.0,12.1,4.11,29.89
35.0,13.19,4.62,30.38
36.0,14.29,5.14,30.86
37.0,15.51,5.74,31.26
38.0,17.08,6.49,31.51
39.0,18.45,7.2,31.8
40.0,20.04,8.02,31.98
41.0,21.62,8.86,32.14
42.0,23.67,9.94,32.06
43.0,25.22,10.84,32.16
44.0,27.28,12.0,32.0
45.0,29.21,13.14,31.86
46.0,31.28,14.39,31.61
47.0,33.18,15.59,31.41
48.0,35.28,16.93,31.07
49.0,37.26,18.26,30.74
50.0,39.36,19.68,30.32
51.0,41.33,21.08,29.92
52.0,43.3,22.52,29.48
53.0,45.02,23.86,29.14
54.0,47.06,25.41,28.59
55.0,49.09,27.0,28.0
56.0,50.67,28.38,27.62
57.0,52.24,29.78,27.22
58.0,53.85,31.23,26.77
59.0,55.33,32.64,26.36
60.0,56.77,34.06,25.94
61.0,57.93,35.34,25.66
62.0,59.68,37.0,25.0
63.0,61.04,38.46,24.54
64.0,62.25,39.84,24.16
65.0,63.42,41.22,23.78
66.0,64.62,42.65,23.35
67.0,65.87,44.13,22.87
68.0,67.26,45.74,22.26
69.0,68.24,47.09,21.91
70.0,69.27,48.49,21.51
71.0,70.32,49.93,21.07
72.0,71.52,51.49,20.51
73.0,72.51,52.93,20.07
74.0,73.61,54.47,19.53
75.0,74.72,56.04,18.96
76.0,75.73,57.55,18.45
77.0,76.97,59.27,17.73
78.0,78.0,60.84,17.16
79.0,78.78,62.24,16.76
80.0,79.94,63.95,16.05
81.0,81.04,65.64,15.36
82.0,81.94,67.19,14.81
83.0,82.96,68.86,14.14
84.0,83.92,70.49,13.51
85.0,84.84,72.11,12.89
86.0,86.02,73.98,12.02
87.0,87.08,75.76,11.24
88.0,87.94,77.39,10.61
89.0,88.95,79.17,9.83
90.0,89.87,80.88,9.12
91.0,91.1,82.9,8.1
92.0,92.05,84.69,7.31
93.0,93.0,86.49,6.51
94.0,94.05,88.41,5.59
95.0,94.98,90.23,4.77
96.0,95.9,92.06,3.94
97.0,97.0,94.09,2.91
98.0,97.98,96.02,1.98
99.0,99.02,98.03,0.97
